match_id,break_1_minute,break_2_minute,total_breaks
15186676,23,69.0,2
15186717,23,70.0,2
15186696,25,68.0,2
15186747,23,68.0,2
15186734,23,68.0,2
12813000,23,67.0,2
12813012,23,68.0,2
12813014,23,70.0,2
12812998,22,67.0,2
12812989,24,68.0,2
12812995,23,68.0,2
12813001,25,68.0,2
12813020,23,68.0,2
12813013,27,70.0,2
12812992,23,69.0,2
12813004,24,68.0,2
12812997,24,69.0,2
12813019,25,67.0,2
12813018,23,68.0,2
12812999,25,73.0,2
12813011,24,69.0,2
12813009,24,68.0,2
12813010,23,73.0,2
12813006,27,68.0,2
12813007,23,71.0,2
12812990,23,68.0,2
12813002,24,69.0,2
12812993,23,71.0,2
12812991,23,68.0,2
12813016,29,67.0,2
15186499,30,70.0,2
15186800,25,71.0,2
15186827,22,72.0,2
15186502,23,69.0,2
15186769,23,,1
15186770,23,68.0,2
15186740,24,74.0,2
15186858,23,69.0,2
15186672,26,70.0,2
15186520,23,69.0,2
15186713,25,68.0,2
15186829,23,69.0,2
15186821,23,71.0,2
15186864,23,68.0,2
15186861,25,68.0,2
15186744,23,69.0,2
15186732,22,68.0,2
15186908,23,68.0,2
15186907,27,69.0,2
15186972,24,68.0,2
15186973,23,69.0,2
15186891,24,68.0,2
15186887,23,67.0,2
15186771,23,67.0,2
15186537,24,68.0,2
15186803,24,69.0,2
15186841,23,68.0,2
15186822,24,69.0,2
15186828,23,69.0,2
15186624,25,69.0,2
15186874,23,68.0,2
15186899,23,69.0,2
15186945,23,67.0,2
15186904,24,69.0,2
15186951,22,69.0,2
15186783,23,68.0,2
15186837,22,67.0,2
15186811,23,69.0,2
15186832,25,68.0,2
15186501,26,68.0,2
15186773,24,69.0,2
15186854,25,69.0,2
15186751,23,72.0,2
15186709,24,69.0,2
15186504,23,69.0,2
15186687,24,68.0,2
15186722,23,69.0,2
15186731,23,69.0,2
15186806,23,69.0,2
15186798,25,68.0,2
15186490,23,68.0,2
15186878,25,68.0,2
15186859,24,68.0,2
15186856,26,69.0,2
15186879,26,68.0,2
15186957,23,69.0,2
15186905,25,72.0,2
15186906,24,68.0,2
15186963,24,70.0,2
15186840,25,68.0,2
15186710,25,68.0,2
15186720,23,70.0,2
15186836,23,69.0,2
15186873,24,68.0,2
15186526,24,68.0,2
15186850,23,68.0,2
