match_id,minute,event_type,chronological_index
15186747,8,shot_missed,7
15186747,10,shot_missed,8
15186747,23,drinks_break,15
15186747,28,goal,17
15186747,32,shot_missed,19
15186747,36,shot_missed,20
15186747,38,shot_missed,22
15186747,41,shot_missed,25
15186747,45,goal,30
15186747,49,shot_missed,41
15186747,55,goal,43
15186747,60,goal,48
15186747,65,shot_missed,52
15186747,68,shot_missed,54
15186747,68,drinks_break,55
15186747,93,goal,66
15186747,95,shot_missed,69
15186747,96,goal,70
15186734,13,shot_missed,5
15186734,19,goal,9
15186734,23,drinks_break,10
15186734,31,goal,19
15186734,38,shot_missed,29
15186734,51,shot_missed,51
15186734,55,goal,53
15186734,59,shot_missed,54
15186734,65,shot_missed,62
15186734,68,drinks_break,65
15186734,80,goal,73
15186734,82,shot_missed,74
15186734,91,shot_missed,89
12813000,7,shot_missed,4
12813000,17,shot_missed,12
12813000,23,drinks_break,21
12813000,36,shot_missed,25
12813000,41,shot_missed,33
12813000,62,shot_missed,64
12813000,66,shot_missed,67
12813000,67,drinks_break,71
12813000,75,shot_missed,79
12813000,76,shot_missed,83
12813000,85,shot_missed,87
12813000,92,goal,97
12813012,14,shot_missed,11
12813012,14,shot_missed,13
12813012,23,drinks_break,20
12813012,28,shot_missed,23
12813012,29,goal,24
12813012,53,shot_missed,47
12813012,56,goal,49
12813012,58,shot_missed,51
12813012,68,drinks_break,57
12813012,77,shot_missed,63
12813012,94,shot_missed,81
12813012,96,goal,82
12813014,6,shot_missed,8
12813014,8,shot_missed,10
12813014,23,drinks_break,26
12813014,42,goal,39
12813014,45,shot_missed,40
12813014,48,shot_missed,44
12813014,50,shot_missed,51
12813014,54,goal,52
12813014,70,shot_missed,76
12813014,70,drinks_break,79
12813014,86,shot_missed,88
12813014,97,shot_missed,111
12813014,121,shot_missed,155
12813014,124,goal,160
12813014,125,goal,161
12813014,125,goal,162
12813014,126,goal,163
12813014,127,goal,164
12813014,130,goal,167
12813014,132,goal,170
12812998,20,shot_missed,16
12812998,22,drinks_break,19
12812998,44,shot_missed,35
12812998,48,shot_missed,40
12812998,48,shot_missed,49
12812998,67,drinks_break,65
12812998,72,goal,69
12812998,91,goal,90
12812998,121,goal,131
12812998,124,goal,134
12812998,125,goal,135
12812998,126,goal,136
12812998,130,goal,140
12812989,8,shot_missed,5
12812989,21,shot_missed,10
12812989,24,drinks_break,14
12812989,28,shot_missed,16
12812989,39,goal,27
12812989,42,shot_missed,30
12812989,47,shot_missed,37
12812989,52,shot_missed,45
12812989,59,shot_missed,51
12812989,64,shot_missed,57
12812989,68,drinks_break,61
