minute,value,match_id
1.0,-1,15186747
2.0,-5,15186747
3.0,6,15186747
4.0,3,15186747
5.0,2,15186747
6.0,2,15186747
7.0,-10,15186747
8.0,-27,15186747
9.0,-21,15186747
10.0,-10,15186747
11.0,-7,15186747
12.0,8,15186747
13.0,14,15186747
14.0,15,15186747
15.0,20,15186747
16.0,14,15186747
17.0,16,15186747
18.0,18,15186747
19.0,-16,15186747
20.0,-7,15186747
21.0,-19,15186747
22.0,-26,15186747
23.0,-34,15186747
24.0,-20,15186747
25.0,-12,15186747
26.0,-7,15186747
27.0,-4,15186747
28.0,-1,15186747
29.0,-21,15186747
30.0,-11,15186747
31.0,-19,15186747
32.0,-8,15186747
33.0,21,15186747
34.0,-57,15186747
35.0,-23,15186747
36.0,22,15186747
37.0,30,15186747
38.0,-28,15186747
39.0,11,15186747
40.0,55,15186747
41.0,-32,15186747
42.0,4,15186747
43.0,13,15186747
44.0,58,15186747
45.0,44,15186747
45.5,16,15186747
46.0,8,15186747
47.0,13,15186747
48.0,19,15186747
49.0,10,15186747
50.0,4,15186747
51.0,11,15186747
52.0,13,15186747
53.0,16,15186747
54.0,47,15186747
55.0,4,15186747
56.0,-6,15186747
57.0,10,15186747
58.0,14,15186747
59.0,2,15186747
60.0,53,15186747
61.0,27,15186747
62.0,9,15186747
63.0,23,15186747
64.0,5,15186747
65.0,-8,15186747
66.0,-28,15186747
67.0,-27,15186747
68.0,-44,15186747
69.0,-22,15186747
70.0,-8,15186747
71.0,5,15186747
72.0,2,15186747
73.0,15,15186747
74.0,8,15186747
75.0,4,15186747
76.0,1,15186747
77.0,-1,15186747
78.0,12,15186747
79.0,6,15186747
80.0,18,15186747
81.0,25,15186747
82.0,29,15186747
83.0,50,15186747
84.0,31,15186747
85.0,13,15186747
86.0,27,15186747
87.0,35,15186747
88.0,39,15186747
89.0,44,15186747
90.0,47,15186747
90.5,-17,15186747
1.0,-2,15186734
2.0,-1,15186734
3.0,-13,15186734
4.0,-16,15186734
5.0,-18,15186734
6.0,-20,15186734
7.0,-34,15186734
8.0,-22,15186734
9.0,-16,15186734
10.0,-12,15186734
11.0,-10,15186734
12.0,-5,15186734
13.0,-52,15186734
14.0,-46,15186734
15.0,-35,15186734
16.0,-29,15186734
17.0,-46,15186734
18.0,-28,15186734
19.0,-66,15186734
20.0,-43,15186734
21.0,-29,15186734
22.0,-20,15186734
23.0,-9,15186734
24.0,-9,15186734
25.0,-12,15186734
26.0,-14,15186734
27.0,-21,15186734
28.0,-100,15186734
29.0,-66,15186734
30.0,-78,15186734
31.0,-51,15186734
32.0,-35,15186734
33.0,-14,15186734
34.0,-29,15186734
35.0,-21,15186734
36.0,-10,15186734
37.0,34,15186734
38.0,20,15186734
39.0,38,15186734
40.0,-24,15186734
41.0,-10,15186734
42.0,-23,15186734
43.0,-11,15186734
44.0,17,15186734
45.0,7,15186734
45.5,-35,15186734
46.0,-8,15186734
47.0,-13,15186734
48.0,-22,15186734
49.0,-13,15186734
50.0,-6,15186734
51.0,11,15186734
52.0,5,15186734
53.0,7,15186734
54.0,-35,15186734
55.0,38,15186734
56.0,2,15186734
57.0,-8,15186734
58.0,-14,15186734
59.0,22,15186734
60.0,-23,15186734
61.0,-21,15186734
62.0,-19,15186734
63.0,-38,15186734
64.0,-56,15186734
65.0,-52,15186734
66.0,-35,15186734
67.0,-35,15186734
68.0,-26,15186734
69.0,-19,15186734
70.0,-15,15186734
71.0,-15,15186734
72.0,-13,15186734
73.0,-13,15186734
74.0,-13,15186734
75.0,-13,15186734
76.0,-17,15186734
77.0,14,15186734
78.0,-6,15186734
79.0,-13,15186734
80.0,-38,15186734
81.0,-28,15186734
82.0,-45,15186734
83.0,-51,15186734
84.0,-35,15186734
85.0,-14,15186734
86.0,-22,15186734
87.0,-61,15186734
88.0,-36,15186734
89.0,-46,15186734
90.0,-32,15186734
90.5,-2,15186734
1.0,2,12813000
2.0,3,12813000
3.0,3,12813000
4.0,-15,12813000
5.0,-7,12813000
6.0,6,12813000
7.0,3,12813000
8.0,-4,12813000
9.0,-4,12813000
10.0,4,12813000
11.0,-15,12813000
12.0,-6,12813000
13.0,-1,12813000
14.0,21,12813000
15.0,13,12813000
16.0,10,12813000
17.0,-36,12813000
18.0,-21,12813000
19.0,-34,12813000
20.0,-8,12813000
21.0,-6,12813000
22.0,-45,12813000
23.0,-36,12813000
24.0,-18,12813000
25.0,-6,12813000
26.0,-2,12813000
27.0,5,12813000
28.0,9,12813000
29.0,4,12813000
30.0,1,12813000
31.0,-2,12813000
32.0,-2,12813000
33.0,-3,12813000
34.0,-3,12813000
35.0,-32,12813000
36.0,-27,12813000
37.0,-11,12813000
38.0,-12,12813000
39.0,-8,12813000
40.0,-9,12813000
41.0,-7,12813000
42.0,-43,12813000
43.0,-36,12813000
44.0,-92,12813000
45.0,-50,12813000
45.5,-33,12813000
46.0,5,12813000
47.0,-25,12813000
48.0,-15,12813000
49.0,-4,12813000
50.0,31,12813000
51.0,23,12813000
52.0,14,12813000
53.0,-9,12813000
54.0,7,12813000
55.0,11,12813000
56.0,20,12813000
57.0,33,12813000
58.0,15,12813000
59.0,6,12813000
60.0,-15,12813000
61.0,-1,12813000
62.0,30,12813000
63.0,17,12813000
64.0,10,12813000
65.0,-17,12813000
66.0,-90,12813000
67.0,-57,12813000
68.0,-24,12813000
69.0,-10,12813000
70.0,-1,12813000
71.0,7,12813000
72.0,4,12813000
73.0,20,12813000
74.0,19,12813000
75.0,41,12813000
76.0,6,12813000
77.0,2,12813000
78.0,-9,12813000
79.0,-63,12813000
80.0,-56,12813000
81.0,-39,12813000
82.0,-46,12813000
83.0,-15,12813000
84.0,8,12813000
85.0,24,12813000
86.0,-17,12813000
87.0,20,12813000
88.0,13,12813000
89.0,31,12813000
90.0,15,12813000
90.5,12,12813000
1.0,8,12813012
2.0,14,12813012
3.0,12,12813012
4.0,35,12813012
5.0,28,12813012
6.0,24,12813012
7.0,44,12813012
8.0,34,12813012
9.0,29,12813012
10.0,46,12813012
11.0,20,12813012
12.0,6,12813012
13.0,17,12813012
14.0,43,12813012
15.0,55,12813012
16.0,32,12813012
17.0,21,12813012
18.0,-30,12813012
19.0,15,12813012
20.0,9,12813012
21.0,13,12813012
22.0,17,12813012
23.0,44,12813012
24.0,29,12813012
25.0,20,12813012
26.0,14,12813012
27.0,10,12813012
28.0,-37,12813012
29.0,-17,12813012
30.0,-19,12813012
31.0,-2,12813012
32.0,25,12813012
33.0,21,12813012
34.0,59,12813012
35.0,33,12813012
36.0,23,12813012
37.0,39,12813012
38.0,36,12813012
39.0,65,12813012
40.0,50,12813012
41.0,19,12813012
42.0,-11,12813012
43.0,-13,12813012
44.0,-22,12813012
45.0,-41,12813012
45.5,21,12813012
46.0,-11,12813012
47.0,-12,12813012
48.0,-7,12813012
49.0,6,12813012
50.0,1,12813012
51.0,8,12813012
52.0,63,12813012
53.0,44,12813012
54.0,91,12813012
55.0,48,12813012
56.0,100,12813012
57.0,68,12813012
58.0,62,12813012
59.0,34,12813012
60.0,84,12813012
61.0,45,12813012
62.0,28,12813012
63.0,23,12813012
64.0,-18,12813012
65.0,-1,12813012
66.0,19,12813012
67.0,22,12813012
68.0,47,12813012
69.0,35,12813012
70.0,26,12813012
71.0,20,12813012
72.0,17,12813012
73.0,18,12813012
74.0,23,12813012
75.0,32,12813012
76.0,26,12813012
77.0,23,12813012
78.0,61,12813012
79.0,35,12813012
80.0,26,12813012
81.0,23,12813012
82.0,21,12813012
83.0,17,12813012
84.0,60,12813012
85.0,47,12813012
86.0,58,12813012
87.0,38,12813012
88.0,36,12813012
89.0,45,12813012
90.0,30,12813012
90.5,38,12813012
1.0,6,12813014
2.0,-19,12813014
3.0,-35,12813014
4.0,-25,12813014
5.0,-12,12813014
6.0,29,12813014
7.0,31,12813014
8.0,71,12813014
9.0,48,12813014
10.0,39,12813014
11.0,20,12813014
12.0,30,12813014
13.0,38,12813014
14.0,46,12813014
15.0,32,12813014
16.0,45,12813014
17.0,35,12813014
18.0,28,12813014
19.0,24,12813014
20.0,23,12813014
21.0,55,12813014
22.0,32,12813014
23.0,24,12813014
24.0,32,12813014
25.0,24,12813014
26.0,13,12813014
27.0,13,12813014
28.0,13,12813014
29.0,21,12813014
30.0,-20,12813014
31.0,9,12813014
32.0,12,12813014
33.0,26,12813014
34.0,20,12813014
35.0,32,12813014
36.0,16,12813014
37.0,17,12813014
38.0,8,12813014
39.0,3,12813014
40.0,10,12813014
41.0,26,12813014
42.0,-64,12813014
43.0,-19,12813014
44.0,-10,12813014
45.0,25,12813014
45.5,67,12813014
46.0,2,12813014
47.0,3,12813014
48.0,4,12813014
49.0,4,12813014
50.0,12,12813014
51.0,-34,12813014
52.0,19,12813014
53.0,10,12813014
54.0,26,12813014
55.0,25,12813014
56.0,21,12813014
57.0,30,12813014
58.0,48,12813014
59.0,30,12813014
60.0,22,12813014
61.0,5,12813014
62.0,12,12813014
63.0,-16,12813014
64.0,9,12813014
65.0,20,12813014
66.0,15,12813014
67.0,11,12813014
68.0,52,12813014
